道具ID,名称,类别,规格与建议,用途,变体,来源及定位,关联动作
knife,训练刀 / 钝片,工具,钝头训练工具；固定软材料,食指伸展抓与切割模拟,,,G17 食指伸展抓；U08 食指伸展抓切割
none,无道具,基础,前臂支撑垫、同步提示屏可选,关节校准与无物体动作,,,J01 食指屈曲；J02 食指伸展；J03 中指屈曲；J04 中指伸展；J05 无名指屈曲；J06 无名指伸展；J07 小指屈曲；J08 小指伸展；J09 拇指内收；J10 拇指外展；J11 拇指屈曲；J12 拇指伸展；J13 竖拇指；J14 食中指伸展，其余屈曲；J15 无名指与小指屈曲；J16 拇指对向小指根部；J17 五指张开；J18 握拳；J19 食指指向；J20 伸直手指并拢；J21 前臂旋后：中指轴提示；J22 前臂旋前：中指轴提示；J23 前臂旋后：小指轴提示；J24 前臂旋前：小指轴提示；J25 腕掌屈；J26 腕背伸；J27 腕桡偏；J28 腕尺偏；J29 握拳位腕背伸；J30 自然静息
cylinder,圆柱组,几何体,建议直径 20 / 40 / 60 mm；轻质、圆边,直径变化、绕轴旋转,常规圆柱；拐角圆柱（Y 轴仿真）,WM-Craftnet / Z-Axis / Cylinder；Y-Axis / Corner Cylinder / 真实机器人 + 仿真 / https://wmcraftnet.github.io/,G01 大直径包络抓；G02 小直径包络抓；G04 拇指内收抓；G31 环形抓；I01 指尖持续绕轴旋转；I02 旋转到指定朝向；I16 顺转—停住—逆转；I22 交替换食指与中指；I30 不同质量下持续旋转；T07 圆柱拾取并放置；T20 预成形开度适配；B15 双手改变长杆方向；B17 双手拉开套筒；C06 不同摩擦表面持握；C11 短时滑移后重新夹紧；I36 物体滑入掌区后送回并续转；I37 改变手掌朝向时保持手内旋转；I38 手与物体联合目标下的抓型转换
sphere,球体组,几何体,建议直径 30 / 50 / 70 mm,球抓、重定向,原始球体直径 100 mm、50 mm；尺度随机化另记,ADEPT / Pre-training diet / primitives 07–08 / 仿真 / https://adept-dexterity.github.io/,G11 力量球抓；G13 精密球抓；G14 三脚架抓；G26 四指球抓；G27 四脚架抓；G28 三指球抓；I19 指尖滚球；I24 掌握转为指尖抓；I28 小扰动后的位姿恢复；T06 球体拾取并放置；T20 预成形开度适配；C01 恒定姿态轻握—较紧握；C05 静态握持抗小扰动；C10 指腹滚动接触追踪；I31 按指令切换旋转轴；T22 机械臂与手协同调整物体目标位姿
cube,方块 / 长方体组,几何体,建议边长 25 / 40 / 60 mm；表面加朝向标记,角点接触与 goal pose,长方体 mm：50×100×100、50×50×100、25×100×100、25×50×100、25×25×100、10×100×100,ADEPT / Pre-training diet / primitives 01–06 / 仿真 / https://adept-dexterity.github.io/,I01 指尖持续绕轴旋转；I02 旋转到指定朝向；I03 掌系完整 6D 位姿到达；I10 掌系 X 方向平移；I11 掌系 Y 方向平移；I12 掌系 Z 方向平移；I13 绕掌系 X 轴定向旋转；I14 绕掌系 Y 轴定向旋转；I15 绕掌系 Z 轴定向旋转；I17 连续目标朝向序列；I29 可见纹理改变下重定向；T01 方块拾取并放入杯中；T11 物体垂直堆叠；T12 受限空间拾取；T13 有遮挡目标拾取；T15 物体移到标记区域；T19 放置后脱离接触；B04 左手向右手转交；B05 右手向左手转交；B18 双手贴合两块物体；B20 双手拆开插接块；B21 双手组合插接块；I34 利用重力辅助重定向；I38 手与物体联合目标下的抓型转换；T22 机械臂与手协同调整物体目标位姿
prism,棱柱,几何体,六棱或八棱，注明尺寸,非圆截面重定向,,,G06 四指棱柱抓；G07 三指棱柱抓；G08 二指棱柱抓；I18 连续位置与朝向目标；I21 支点旋转；T18 抓取后精准回放
disk,圆盘,几何体,不同厚度、直径，边缘圆滑,盘抓与翻转,,,G10 力量圆盘抓；G12 精密圆盘抓；G18 伸展型抓；G30 掌面抓
coin,代币 / 硬币,小物件,建议直径 25–35 mm 的代币,精细捏取、掌指转移,,,G09 掌侧指腹捏；G24 指尖捏；G33 下位钳捏；I04 指尖到掌心转移；I05 掌心到指尖转移；I08 指间简单旋转；I23 三指抓转为二指捏；I25 硬币翻面 180°；I27 掌内暂存后逐枚取出；T05 硬币从桌面捏起
peg,插销与孔板,装配,配合间隙分两级，记录毫米值,对准与插入,紧配插入件与孔座，记录配合几何,Play2Perfect / Tight Insertion / 真实机器人 + 仿真 / https://play2perfect.github.io/,U17 插销对孔并插入；U18 插销拔出；B10 一手扶物一手插销；D06 绳索穿孔；U43 装配失败后重新对准并重试
pen,笔与笔帽,工具,粗细两级，钝端；有盖与无盖,笔姿调整、书写、拔帽,,TeleDexter / Pen spinning / long take / recovery / 真实机器人 / https://bigai-dex.github.io/blog/teledexter/,G05 轻工具抓；G20 书写三脚架抓；G21 三脚架变式；G25 侧向三脚架抓；G32 腹侧抓；I06 笔沿指腹小幅移位；I07 多指配合复杂移位；I09 指间复杂旋转；I20 指腹滑移调整；I26 笔调至书写姿态；T14 横放笔拾取；T17 细长物水平搬运；U24 书写短线；U25 笔帽拔开；U26 笔帽扣合；B19 一手持笔一手拔帽；I32 指间连续转笔；U38 手指与手腕协同跟踪笔尖轨迹
