ID,中文动作,英文动作,类别,来源关系,元动作ID,道具ID,定位,来源,链接,演示范围,说明,成功判据建议,新增演示与定位
J01,食指屈曲,Index flexion,joint,direct,P01,none,官方动作图 Exercise A1,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,前臂保持支撑，食指缓慢屈曲，其余手指尽量保持自然。,目标指完成可见运动；记录相邻手指伴随运动，不强行约束自然联动。,[]
J02,食指伸展,Index extension,joint,direct,P02,none,官方动作图 Exercise A2,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,前臂保持支撑，食指缓慢伸展，其余手指尽量保持自然。,目标指完成可见运动；记录相邻手指伴随运动，不强行约束自然联动。,[]
J03,中指屈曲,Middle flexion,joint,direct,P01,none,官方动作图 Exercise A3,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,前臂保持支撑，中指缓慢屈曲，其余手指尽量保持自然。,目标指完成可见运动；记录相邻手指伴随运动，不强行约束自然联动。,[]
J04,中指伸展,Middle extension,joint,direct,P02,none,官方动作图 Exercise A4,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,前臂保持支撑，中指缓慢伸展，其余手指尽量保持自然。,目标指完成可见运动；记录相邻手指伴随运动，不强行约束自然联动。,[]
J05,无名指屈曲,Ring flexion,joint,direct,P01,none,官方动作图 Exercise A5,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,前臂保持支撑，无名指缓慢屈曲，其余手指尽量保持自然。,目标指完成可见运动；记录相邻手指伴随运动，不强行约束自然联动。,[]
J06,无名指伸展,Ring extension,joint,direct,P02,none,官方动作图 Exercise A6,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,前臂保持支撑，无名指缓慢伸展，其余手指尽量保持自然。,目标指完成可见运动；记录相邻手指伴随运动，不强行约束自然联动。,[]
J07,小指屈曲,Little flexion,joint,direct,P01,none,官方动作图 Exercise A7,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,前臂保持支撑，小指缓慢屈曲，其余手指尽量保持自然。,目标指完成可见运动；记录相邻手指伴随运动，不强行约束自然联动。,[]
J08,小指伸展,Little extension,joint,direct,P02,none,官方动作图 Exercise A8,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,前臂保持支撑，小指缓慢伸展，其余手指尽量保持自然。,目标指完成可见运动；记录相邻手指伴随运动，不强行约束自然联动。,[]
J09,拇指内收,Thumb adduction,joint,direct,P03,none,官方动作图 Exercise A9,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,以自然张开的手开始，执行拇指内收；掌面与腕姿态保持可观测。,目标方向明确；无明显腕部代偿。,[]
J10,拇指外展,Thumb abduction,joint,direct,P03,none,官方动作图 Exercise A10,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,以自然张开的手开始，执行拇指外展；掌面与腕姿态保持可观测。,目标方向明确；无明显腕部代偿。,[]
